PM,LOCATION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,Date,ANNUAL_AVG_TEMPERATURE,ANOMALY_TEMPERATURE,PRECIPITATION,ANOMALY_PRECIPITATION
-1.23869289940491,1098,-1.5246558684693194,-1.4790079653654378,-1.4599322243472308,-0.9205622425965269,-1.0418455493330383,-1.0349876891703211,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-1.1200919971090204,499,-1.0298613718889174,-1.1281136983698317,-1.113872234758921,-1.1494644981096014,-1.2122487817334702,-1.200345970214709,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-1.1128866734749154,515,-1.1479859905891028,-1.2134640511430124,-1.199130920347763,-1.0239374547637219,-1.1317805886554886,-1.1201722581931877,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-1.0632783390737313,490,-1.0224785832201557,-1.1328553846350085,-1.1188874515582645,-1.1125447794784604,-1.1933150892445334,-1.1803025422093287,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.9191718663916292,503,-0.9929474285451093,-1.1186303258394783,-1.0938113675615464,-0.9870177361325808,-1.1128468961665516,-1.090107116185117,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.8395307228606798,524,-1.052009737895202,-1.156563815960892,-1.1339331019562955,-1.03132139848995,-1.1365140117777228,-1.1151614011918425,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.7739814069681128,517,-0.852674443838639,-1.0095715417404143,-1.053689633166797,-0.8836425239653859,-1.0276452799663356,-1.0700636881797367,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.7116202873738225,514,-0.9634162738700629,-1.0854385219832414,-1.1188874515582645,-1.0017856235850373,-1.1081134730443174,-1.140215686198568,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.6486852924458424,574,-1.0003302172138708,-1.109146953309125,-1.138948318755639,-1.0017856235850373,-1.098646626799849,-1.135204829197223,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.567131231135927,587,-1.0003302172138708,-1.0996635807787716,-1.128917885156952,-0.8836425239653859,-1.0039781643551644,-1.0500202601743565,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.4983937189450836,778,-0.8748228098449238,-0.9953464829448841,-1.04365919956811,-0.8762585802391576,-0.9187765481549485,-0.8996945501340038,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.46262215647842014,1036,-0.8748228098449238,-0.9194795027020569,-0.8982179123871443,-0.9057943551440705,-0.9471770868883538,-0.9297596921420743,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.4401772545385529,895,-0.9043539645199702,-0.9479296202931171,-0.9283092131832061,-0.9427140737752115,-0.994511318110696,-0.9748574051541801,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.4033854692564409,789,-0.9338851191950165,-0.9953464829448841,-0.9684309475779553,-0.7728833680719627,-0.8714423169326062,-0.8495859801205529,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.3055716068253148,1517,-0.8009949231573078,-0.9005127576413502,-0.8781570451897697,-0.9574819612276679,-1.0418455493330383,-1.024965975167631,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.21815126432657053,1522,-1.0298613718889174,-1.0901802082484182,-1.068735283564828,-0.9648659049538961,-1.0655126649442093,-1.0349876891703211,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
-0.08520347868843627,1526,-1.1036892585765332,-1.1660471884912453,-1.138948318755639,-1.1494644981096014,-1.1885816661222992,-1.1652699712052934,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.00623399114613667,1360,-1.0298613718889174,-1.0949218945135948,-1.068735283564828,-1.03132139848995,-1.0939132036776147,-1.0650528311783918,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.11189081647102318,370,-0.7419326138072151,-0.87206264005029,-0.8380353107950206,-0.9131782988702987,-0.9661107793772907,-0.9598248341501449,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.12209304462550831,372,-0.9117367531887317,-0.966896365353824,-0.958400513979268,-0.9796337924063526,-1.0181784337218671,-1.0049225471622507,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.15894859383358576,1117,-0.9560334852013013,-1.0048298554752375,-0.9884918147753299,-0.9648659049538961,-1.0087115874773986,-0.9999116901609055,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.2215010052057725,1119,-0.9338851191950165,-0.9858631104145308,-0.9734461643772989,-0.8171870304293319,-0.8998428556660116,-0.8896728361313136,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.2867952653944773,289,-0.7271670364696918,-0.8341291499288763,-0.817974443597646,-0.713811818262137,-0.8241080857102641,-0.8094991241097922,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
0.3497302603224575,287,-0.8157605004948311,-0.87206264005029,-0.8480657443937079,-0.8762585802391576,-0.9282433943994169,-0.8996945501340038,2017,0.9596145781572549,0.9596145781572637,0.1332198676051056,0.13321986760510557
